PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
Luke Kornet,NYK,F-C,7.0,37.8,36.3,0.6,2.3,1.2,0.6,0.9,-1.2,10.8,2.16,3.3,12.3,6.6,53.1,17.8,9.3
OG Anunoby,TOR,F,7.0,45.3,33.2,0.9,2.1,0.7,0.7,0.3,-0.7,5.0,0.85,4.0,10.0,10.3,54.4,14.8,5.7
Terrance Ferguson,OKC,G,6.9,42.9,36.6,0.4,1.5,1.0,0.5,0.2,1.9,4.6,1.53,1.5,5.5,8.2,56.6,10.4,2.7
Pat Connaughton,MIL,G,6.9,46.6,33.0,1.0,3.2,2.0,0.5,0.4,1.9,12.8,3.7,4.6,13.5,6.3,57.3,13.0,9.4
Tyus Jones,MIN,G,6.9,41.5,31.7,0.3,1.6,4.8,1.2,0.1,0.0,28.4,6.96,1.4,6.9,5.5,49.1,13.9,9.5
Stanley Johnson,NOP,F,6.9,38.9,28.8,0.5,2.8,1.3,0.9,0.2,-3.0,11.8,1.09,2.5,14.2,12.7,48.5,18.6,7.9
Quinn Cook,GSW,G,6.9,46.5,40.5,0.3,1.8,1.6,0.3,0.0,-1.8,16.7,2.32,2.1,12.3,8.1,56.5,20.0,9.3
Dante Exum,UTA,G,6.9,41.9,29.0,0.4,1.2,2.6,0.3,0.1,1.1,25.1,2.12,2.4,7.7,11.7,51.6,20.7,8.2
Wayne Selden,CHI,G-F,6.9,40.6,31.6,0.5,1.9,1.5,0.4,0.2,-3.9,11.2,1.38,2.4,9.8,11.1,49.1,17.8,5.4
Maxi Kleber,DAL,F,6.8,45.3,35.3,1.3,3.4,1.0,0.5,1.1,0.9,6.8,1.3,5.7,14.9,9.9,57.9,13.2,8.9
Brandon Knight,CLE,G,6.8,38.1,31.8,0.3,1.3,1.8,0.5,0.1,-4.9,14.7,2.37,1.2,7.0,8.0,48.4,17.8,5.1
Evan Turner,POR,G-F,6.8,46.0,21.2,0.5,4.0,3.9,0.5,0.2,0.4,24.2,2.48,2.2,16.7,12.8,50.4,15.8,9.9
Ersan Ilyasova,MIL,F,6.8,43.8,36.3,1.4,3.1,0.8,0.5,0.3,3.6,5.6,1.08,7.1,15.1,9.3,54.8,15.1,7.1
JR Smith,CLE,G-F,6.7,34.2,30.8,0.0,1.6,1.9,1.0,0.3,-1.3,13.3,1.91,0.0,8.0,9.6,44.4,17.6,5.1
Ryan Arcidiacono,CHI,G,6.7,44.7,37.3,0.3,2.4,3.3,0.8,0.0,-3.1,19.1,4.27,1.3,9.6,7.9,58.8,11.7,7.8
James Ennis III,PHI,F,6.7,46.9,35.3,1.0,2.1,0.7,0.7,0.4,-0.1,4.7,1.21,4.8,9.9,8.4,59.0,12.5,5.6
Ian Clark,NOP,G,6.7,39.4,32.7,0.2,1.3,1.6,0.4,0.1,-0.9,13.2,1.62,1.2,7.1,10.6,50.2,18.5,5.2
Michael Kidd-Gilchrist,CHA,F,6.7,47.6,34.0,1.4,2.5,1.0,0.5,0.6,-0.8,7.7,1.42,6.9,12.9,8.7,55.3,15.3,7.5
Zach Collins,POR,F-C,6.6,47.3,33.1,1.4,2.8,0.9,0.3,0.9,-0.1,7.6,0.92,7.8,14.4,12.8,56.2,16.6,8.0
MarShon Brooks,MEM,G,6.6,45.0,27.8,0.4,1.1,0.9,0.3,0.1,-0.8,11.2,1.19,3.0,8.9,9.1,51.8,23.3,8.4
David Nwaba,CLE,G,6.5,48.1,32.0,0.8,2.4,1.1,0.7,0.3,-1.5,7.7,1.86,3.9,12.8,7.6,55.8,14.1,7.1
Cory Joseph,IND,G,6.5,41.2,32.2,0.5,2.9,3.9,1.1,0.3,2.6,20.8,4.01,1.9,11.1,8.3,47.4,13.4,8.7
Johnathan Williams,LAL,F,6.5,59.1,0.0,2.0,2.1,0.5,0.3,0.3,2.3,5.1,0.81,11.6,13.0,10.0,59.9,15.8,7.8
Jonathon Simmons,PHI,F,6.5,38.0,26.9,0.5,1.8,2.3,0.5,0.3,-2.6,17.5,1.88,2.4,9.0,11.6,46.6,18.2,6.0
Shaquille Harrison,CHI,G,6.5,43.2,27.0,0.5,2.6,1.9,1.2,0.4,-4.3,14.2,2.32,2.2,13.2,8.9,49.4,16.0,8.2
Sterling Brown,MIL,G,6.4,46.5,36.1,0.5,2.7,1.4,0.4,0.1,0.0,11.5,1.83,2.6,13.0,10.0,56.3,14.9,7.8
CJ Miles,MEM,F-G,6.4,36.0,33.0,0.2,1.5,0.7,0.5,0.3,-0.3,6.1,1.2,1.4,9.0,7.5,50.4,17.3,5.6
Gorgui Dieng,MIN,C,6.4,50.1,33.9,1.1,3.0,0.9,0.6,0.5,-1.5,10.6,1.26,7.2,22.5,10.3,57.2,19.4,11.8
T.J. McConnell,PHI,G,6.4,52.5,33.3,0.4,1.9,3.4,1.0,0.2,-0.1,24.9,2.84,1.8,9.4,11.6,55.5,14.8,9.7
Devin Harris,DAL,G,6.3,38.0,31.0,0.2,1.5,1.8,0.5,0.2,-1.4,17.2,2.18,1.0,9.0,9.6,52.7,18.0,6.5
Jonas Jerebko,GSW,F,6.3,45.9,36.7,1.0,3.0,1.3,0.4,0.2,0.8,10.6,2.23,5.5,16.8,8.1,58.8,14.4,9.2
Omri Casspi,MEM,F,6.3,53.4,34.9,0.5,2.7,0.7,0.6,0.3,0.5,7.7,1.13,3.3,18.4,9.7,60.6,17.0,11.8
Cameron Payne,CLE,G,6.3,43.0,29.8,0.3,1.5,2.7,0.7,0.2,-5.6,22.5,2.36,1.7,8.3,11.5,51.9,16.9,7.4
Kevon Looney,GSW,C-F,6.3,62.5,10.0,2.4,2.8,1.5,0.6,0.7,3.8,10.6,2.41,12.6,13.3,9.0,63.6,12.2,9.2
Troy Daniels,PHX,G,6.2,41.1,38.1,0.3,1.2,0.5,0.5,0.1,-2.2,5.2,0.96,1.6,7.9,8.1,55.8,17.1,5.6
Mo Bamba,ORL,C,6.2,48.1,30.0,1.4,3.6,0.8,0.3,1.4,-5.1,8.6,0.91,7.4,21.3,12.3,53.9,17.4,10.3
Tyler Dorsey,MEM,G,6.2,40.5,33.3,0.6,1.8,1.2,0.3,0.0,-0.7,11.8,2.07,3.6,11.8,7.3,50.9,18.2,7.2
Jerryd Bayless,MIN,G,6.1,35.7,29.6,0.3,1.5,3.5,0.5,0.1,-4.7,26.2,3.72,1.5,8.0,8.2,43.1,17.2,5.9
Sam Dekker,WAS,F,6.1,46.9,30.6,1.1,2.0,1.0,0.8,0.1,-1.9,8.1,1.92,6.4,12.3,6.9,51.9,15.7,8.3
Kenrich Williams,NOP,G-F,6.1,38.4,33.3,1.2,3.6,1.8,1.0,0.4,-1.9,9.4,2.31,4.6,14.5,8.9,48.5,11.9,6.2
Cheick Diallo,NOP,F,6.0,62.0,25.0,1.2,4.0,0.5,0.5,0.5,-1.4,5.1,0.67,7.9,26.0,12.8,64.4,15.5,12.1
Isaiah Canaan,MIL,G,6.0,39.0,35.4,0.2,1.7,2.8,0.5,0.1,-5.8,19.4,2.4,1.0,8.6,11.9,51.8,14.7,5.7
Henry Ellenson,NYK,F,6.0,41.1,44.7,0.3,3.2,0.8,0.4,0.1,-0.5,9.6,1.78,1.8,21.4,7.0,53.8,18.6,10.2
Tony Snell,MIL,G,6.0,45.2,39.7,0.4,1.7,0.9,0.4,0.2,2.3,6.9,2.96,2.1,8.6,4.9,58.5,12.7,6.9
Wilson Chandler,LAC,F,6.0,41.8,37.3,0.9,3.3,1.6,0.5,0.4,2.1,8.9,1.78,4.1,13.2,11.2,53.7,11.5,5.6
Jordan McRae,WAS,G,5.9,46.9,28.6,0.2,1.3,1.1,0.5,0.3,-0.8,13.1,2.0,1.7,9.5,7.9,55.0,19.1,8.9
Yogi Ferrell,SAC,G,5.9,43.5,36.2,0.2,1.4,1.9,0.5,0.1,-0.8,17.6,3.43,1.1,8.5,7.2,55.0,16.0,9.2
Omari Spellman,ATL,F,5.9,40.2,34.4,1.6,2.7,1.0,0.6,0.5,-4.4,8.5,1.52,8.0,14.4,9.0,51.6,14.6,7.9
Aaron Holiday,IND,G,5.9,40.1,33.9,0.1,1.2,1.7,0.4,0.3,2.0,18.0,2.17,0.8,8.8,9.8,51.8,20.6,7.8
Matthew Dellavedova,CLE,G,5.9,40.5,33.8,0.1,1.5,3.8,0.3,0.0,-1.3,32.9,2.66,0.7,8.1,13.2,53.2,17.3,8.2
Nik Stauskas,CLE,G,5.9,40.2,37.2,0.3,1.6,1.2,0.3,0.1,-3.8,12.3,1.59,1.6,10.4,10.2,54.5,17.1,7.8
Meyers Leonard,POR,F-C,5.9,54.5,45.0,0.8,3.0,1.2,0.2,0.1,-1.3,12.3,1.74,5.5,20.6,11.2,67.5,14.9,10.8
D.J. Wilson,MIL,F,5.8,41.4,36.2,0.9,3.7,1.1,0.4,0.4,1.7,8.0,1.63,4.7,17.4,9.0,51.5,14.1,7.5
Juancho Hernangomez,DEN,F,5.8,43.9,36.5,0.9,2.9,0.8,0.4,0.3,0.5,5.4,1.49,4.4,14.4,8.4,58.0,11.9,7.6
Ed Davis,BKN,C,5.8,61.6,0.0,2.7,5.9,0.8,0.4,0.4,1.2,6.4,0.95,13.5,30.7,12.8,63.2,12.5,13.9
Furkan Korkmaz,PHI,G-F,5.8,40.0,32.6,0.3,1.9,1.1,0.6,0.0,1.3,10.7,2.08,2.3,13.0,7.4,52.8,17.4,7.9
Mike Scott,PHI,F,5.8,40.0,40.1,0.5,2.9,0.8,0.3,0.2,0.5,6.4,1.5,2.9,14.7,8.1,52.8,13.9,6.3
Ivan Rabb,MEM,F,5.8,54.7,20.0,1.4,2.8,1.1,0.3,0.3,-1.9,12.3,1.54,9.7,19.7,10.6,58.6,16.6,10.6
Elie Okobo,PHX,G,5.7,39.3,29.5,0.2,1.6,2.4,0.6,0.1,-4.0,19.8,1.84,1.2,9.2,13.6,48.9,16.8,5.3
Torrey Craig,DEN,F,5.7,44.2,32.4,1.2,2.3,1.0,0.5,0.6,1.0,6.2,1.64,5.7,11.2,8.7,54.7,12.1,5.5
Frank Ntilikina,NYK,G,5.7,33.7,28.7,0.3,1.7,2.8,0.7,0.3,-4.3,19.5,2.16,1.2,8.0,11.8,41.7,16.3,3.9
Andre Iguodala,GSW,F-G,5.7,50.0,33.3,0.7,3.0,3.2,0.9,0.8,4.6,17.3,4.15,3.1,11.7,8.7,58.7,10.1,9.0
Daniel Theis,BOS,F,5.7,54.9,38.8,1.3,2.1,1.0,0.3,0.6,2.0,10.8,2.06,8.8,14.5,8.2,62.4,15.0,9.5
John Henson,CLE,F,5.6,46.3,35.5,1.1,3.9,1.0,0.5,0.8,0.1,10.8,1.17,7.4,23.3,12.2,55.3,17.3,12.7
Aron Baynes,BOS,C-F,5.6,47.1,34.4,1.7,3.0,1.1,0.2,0.7,2.5,9.2,1.43,10.3,17.5,11.5,56.7,14.7,8.3
Chasson Randle,WAS,G,5.5,41.9,40.0,0.2,0.9,2.0,0.5,0.1,-2.2,18.2,2.26,1.3,6.2,11.1,55.5,16.0,5.3
