PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
Luke Kennard,DET,G,0.7,60.0,0.3,48.6,0.3,43.9,0.6,44.9,0.7,39.0,1.2,39.9
Kevin Huerter,ATL,G,1.1,53.4,0.3,39.0,0.3,35.6,0.1,40.0,0.6,38.4,1.2,38.5
Nemanja Bjelica,SAC,F,1.9,59.3,0.3,41.7,0.0,22.2,0.0,22.2,0.4,36.8,1.0,43.0
Allen Crabbe,BKN,G-F,0.5,52.6,0.1,20.0,0.2,47.1,0.1,22.2,1.1,41.2,1.2,33.3
Jonathan Isaac,ORL,F,1.7,61.0,0.1,36.4,0.2,38.1,0.2,28.6,0.7,36.1,0.5,29.9
Jeremy Lin,TOR,G,1.5,56.9,0.3,46.8,0.3,39.6,0.3,42.9,0.4,36.0,0.5,29.5
Robin Lopez,CHI,C,2.6,66.3,1.2,52.8,0.2,56.0,0.1,25.0,0.1,23.5,0.1,20.8
Tony Parker,CHA,G,1.6,54.8,0.5,42.6,0.5,63.0,0.8,37.5,0.3,38.1,0.1,25.8
Shabazz Napier,BKN,G,1.0,52.8,0.1,25.0,0.3,43.8,0.3,38.9,0.5,36.7,0.9,32.3
Markieff Morris,OKC,F,1.3,58.3,0.5,49.2,0.3,30.3,0.2,48.0,0.5,33.7,0.7,33.1
JaMychal Green,LAC,F,1.8,61.1,0.2,28.6,0.2,45.5,0.2,48.4,0.6,41.9,0.6,37.3
Danuel House Jr.,HOU,F-G,1.1,64.1,0.1,33.3,0.0,0.0,0.0,100.0,1.0,39.6,0.9,44.4
Al-Farouq Aminu,POR,F,1.7,59.6,0.2,37.1,0.0,13.3,0.0,22.2,0.7,36.6,0.5,30.2
Larry Nance Jr.,CLE,F,2.6,68.5,0.2,34.1,0.2,31.6,0.2,40.0,0.2,30.0,0.3,33.3
Nicolas Batum,CHA,F-G,1.1,62.8,0.2,50.0,0.2,38.2,0.3,38.8,0.9,45.3,0.7,33.7
Jalen Brunson,DAL,G,1.4,64.0,0.6,45.6,0.5,46.7,0.3,39.6,0.5,33.0,0.4,36.9
Gerald Green,HOU,G-F,0.7,69.4,0.1,47.6,0.1,23.8,0.1,44.4,1.2,42.9,1.0,29.8
Rajon Rondo,LAL,G,2.0,46.9,0.3,41.7,0.1,22.7,0.2,33.3,0.3,29.2,0.9,39.8
Alex Caruso,LAL,G,1.7,49.4,0.2,45.5,0.2,25.0,0.1,33.3,0.4,42.9,0.6,46.9
Landry Shamet,LAC,G,0.6,53.5,0.1,45.5,0.1,36.0,0.1,30.0,0.8,42.7,1.4,41.5
Terry Rozier,BOS,G,1.0,53.4,0.2,34.5,0.2,32.8,0.2,32.7,0.7,38.5,0.9,32.9
Ish Smith,DET,G,1.5,57.4,0.4,30.8,0.3,38.6,0.6,42.2,0.4,35.1,0.5,32.9
Malik Monk,CHA,G,1.1,58.8,0.1,19.4,0.2,40.0,0.2,37.2,0.5,30.5,1.0,35.4
Rondae Hollis-Jefferson,BKN,F,2.6,50.0,0.4,32.4,0.2,25.5,0.1,28.6,0.1,20.5,0.0,10.0
Ivica Zubac,LAC,C,3.2,60.5,0.3,37.5,0.1,50.0,0.0,16.7,0.0,0.0,0.0,0.0
Bam Adebayo,MIA,C-F,2.8,67.7,0.2,33.9,0.3,37.5,0.1,44.4,0.0,0.0,0.0,42.9
Tomas Satoransky,WAS,G-F,1.6,62.6,0.5,54.3,0.2,25.0,0.1,29.7,0.5,45.0,0.4,36.7
Marcus Smart,BOS,G,0.9,63.0,0.2,36.4,0.1,38.5,0.1,30.0,0.7,38.4,1.0,36.2
Mario Hezonja,NYK,F,1.7,52.9,0.2,31.6,0.3,48.6,0.2,43.3,0.3,23.1,0.6,33.3
Alec Burks,SAC,G,1.5,55.5,0.2,23.9,0.1,26.7,0.2,25.5,0.4,38.1,0.7,36.6
Delon Wright,MEM,G,2.2,57.9,0.2,28.8,0.1,25.0,0.1,28.6,0.3,32.3,0.4,29.7
Frank Kaminsky,CHA,F-C,1.4,65.3,0.5,51.2,0.1,25.0,0.0,0.0,0.2,25.0,0.9,38.7
